model,Threshold,AUC,F1,Recall,Specif,Accuracy
LogisticRegression,0.571,0.904,0.8696,0.8333,0.9697,0.9333
RandomForest,0.697,0.8611,0.6316,0.5,0.9697,0.8444
XGBoost,0.925,0.8965,0.7273,0.6667,0.9394,0.8667
LightGBM,0.992,0.9015,0.6667,0.5833,0.9394,0.8444
