,0
NDVI_V10,0.3312245568257622
NDVI_V6,0.38682945856885753
NDVI_V7,0.38682945856885753
NDVI_V8,0.3463369757292825
NDVI_V9,0.3312245568257622
GNDVI_V10,0.3188214433908365
GNDVI_V6,0.36798728068539754
GNDVI_V7,0.36798728068539754
GNDVI_V8,0.3379325368688319
GNDVI_V9,0.3188214433908365
NDRE_V10,0.2573264382555265
NDRE_V6,0.3050962842772969
NDRE_V7,0.3050962842772969
NDRE_V8,0.27204109856441144
NDRE_V9,0.2573264382555265
EVI2_V10,0.19238606592333882
EVI2_V6,0.23314876430924497
EVI2_V7,0.23314876430924497
EVI2_V8,0.21104867312937262
EVI2_V9,0.19238606592333882
CIrededge_V10,0.8850612548329583
CIrededge_V6,1.1225095479693548
CIrededge_V7,1.1225095479693548
CIrededge_V8,0.9419537074272839
CIrededge_V9,0.8850612548329583
NIRv_V10,0.08385192894220207
NIRv_V6,0.10475649363337472
NIRv_V7,0.10475649363337472
NIRv_V8,0.09336556921080925
NIRv_V9,0.08385192894220207
SAVI_V10,0.20106955155673778
SAVI_V6,0.24109735586665806
SAVI_V7,0.24109735586665806
SAVI_V8,0.21961848082740124
SAVI_V9,0.20106955155673778
OSAVI_V10,0.22377315424248856
OSAVI_V6,0.2662439099455619
OSAVI_V7,0.2662439099455619
OSAVI_V8,0.2404608083808789
OSAVI_V9,0.22377315424248856
TGI_V10,-0.0050662170857732084
TGI_V6,-0.004004333846861452
TGI_V7,-0.004004333846861452
TGI_V8,-0.0044344106754954345
TGI_V9,-0.0050662170857732084
MCARI_V10,0.019434806000130492
MCARI_V6,0.022971979389444563
MCARI_V7,0.022971979389444563
MCARI_V8,0.02080337765447534
MCARI_V9,0.019434806000130492
OCARI_V10,0.01132865061772957
OCARI_V6,0.012424516625641849
OCARI_V7,0.012424516625641849
OCARI_V8,0.012237140208795993
OCARI_V9,0.01132865061772957
blue_B02_V10,0.14632292018148316
blue_B02_V6,0.14217371423484548
blue_B02_V7,0.14217371423484548
blue_B02_V8,0.14992905180387145
blue_B02_V9,0.14632292018148316
green_B03_V10,0.13642773124806298
green_B03_V6,0.13285408316563432
green_B03_V7,0.13285408316563432
green_B03_V8,0.14124651501205124
green_B03_V9,0.13642773124806298
red_B04_V10,0.13394094108495255
red_B04_V6,0.1285447469980515
red_B04_V7,0.1285447469980515
red_B04_V8,0.13903642073637215
red_B04_V9,0.13394094108495255
rededge_B05_V10,0.15178322296374386
rededge_B05_V6,0.14850478734185124
rededge_B05_V7,0.14850478734185124
rededge_B05_V8,0.15835314171863393
rededge_B05_V9,0.15178322296374386
nir_B08_V10,0.2501137299234392
nir_B08_V6,0.2679217976520594
nir_B08_V7,0.2679217976520594
nir_B08_V8,0.267915761007446
nir_B08_V9,0.2501137299234392
gdd_plant_v6,206.98463687150837
precp_plant_v6_mm,79.20893854748604
gdd_v6_v10,168.11731843575419
precp_v6_v10_mm,60.6731843575419
heat_days_v6_v10,0.15083798882681565
solar_v6_v10_mjm2d,24.228877094972066
no3_0_1ft_ppnt_ppm,5.127094972067039
no3_1_2ft_ppnt_ppm,3.2814245810055866
no3_2_3ft_ppnt_ppm,2.5195530726256985
nh4_0_1ft_ppnt_ppm,3.420251396648045
no3_0_1ft_psnt_ppm,30.05056179775281
no3_1_2ft_psnt_ppm,13.44915254237288
nh4_0_1ft_psnt_ppm,7.315384615384614
plant_n_kgha,156.3687150837989
side_n_kgha,0.0
