trial,plot_id,NDVI_V10,NDVI_V6,NDVI_V7,NDVI_V8,NDVI_V9,GNDVI_V10,GNDVI_V6,GNDVI_V7,GNDVI_V8,GNDVI_V9,NDRE_V10,NDRE_V6,NDRE_V7,NDRE_V8,NDRE_V9,EVI2_V10,EVI2_V6,EVI2_V7,EVI2_V8,EVI2_V9,CIrededge_V10,CIrededge_V6,CIrededge_V7,CIrededge_V8,CIrededge_V9,NIRv_V10,NIRv_V6,NIRv_V7,NIRv_V8,NIRv_V9,SAVI_V10,SAVI_V6,SAVI_V7,SAVI_V8,SAVI_V9,OSAVI_V10,OSAVI_V6,OSAVI_V7,OSAVI_V8,OSAVI_V9,TGI_V10,TGI_V6,TGI_V7,TGI_V8,TGI_V9,MCARI_V10,MCARI_V6,MCARI_V7,MCARI_V8,MCARI_V9,OCARI_V10,OCARI_V6,OCARI_V7,OCARI_V8,OCARI_V9,blue_B02_V10,blue_B02_V6,blue_B02_V7,blue_B02_V8,blue_B02_V9,green_B03_V10,green_B03_V6,green_B03_V7,green_B03_V8,green_B03_V9,red_B04_V10,red_B04_V6,red_B04_V7,red_B04_V8,red_B04_V9,rededge_B05_V10,rededge_B05_V6,rededge_B05_V7,rededge_B05_V8,rededge_B05_V9,nir_B08_V10,nir_B08_V6,nir_B08_V7,nir_B08_V8,nir_B08_V9,site,state,year,block,n_trt,plant_n,side_n,nni,vt_tiss_n,vt_biomass_kgha
33,101,0.4258322265376421,0.4444747095135246,0.4444747095135246,0.4444747095135246,0.4258322265376421,0.3708925911769404,0.4089028219360192,0.4089028219360192,0.4089028219360192,0.3708925911769404,0.2542674186921845,0.3081752664766055,0.3081752664766055,0.3081752664766055,0.2542674186921845,0.2061754957188954,0.2668954877877373,0.2668954877877373,0.2668954877877373,0.2061754957188954,0.694772860761923,0.8914960348888326,0.8914960348888326,0.8914960348888326,0.694772860761923,0.0818549681296675,0.1157180064570539,0.1157180064570539,0.1157180064570539,0.0818549681296675,0.2208751803719297,0.2792721564748591,0.2792721564748591,0.2792721564748591,0.2208751803719297,0.264683485744061,0.3078114132901579,0.3078114132901579,0.3078114132901579,0.264683485744061,-0.0014886977777777,0.0001796666666666,0.0001796666666666,0.0001796666666666,-0.0014886977777777,0.0460071731286634,0.0439316573321149,0.0439316573321149,0.0439316573321149,0.0460071731286634,0.0205793706265067,0.0231640888664048,0.0231640888664048,0.0231640888664048,0.0205793706265067,0.0935475555555555,0.1147177777777777,0.1147177777777777,0.1147177777777777,0.0935475555555555,0.0843217777777777,0.1091991111111111,0.1091991111111111,0.1091991111111111,0.0843217777777777,0.0737088888888889,0.1001066666666666,0.1001066666666666,0.1001066666666666,0.0737088888888889,0.1094688888888888,0.1377008888888889,0.1377008888888889,0.1377008888888889,0.1094688888888888,0.1870631111111111,0.2603222222222222,0.2603222222222222,0.2603222222222222,0.1870631111111111,Crawford,IA,2016,1,2,40,0,1.1569,1.57,12010.4
33,102,0.4122394548368592,0.4397981456353763,0.4397981456353763,0.4397981456353763,0.4122394548368592,0.3553962523603161,0.4054183423252087,0.4054183423252087,0.4054183423252087,0.3553962523603161,0.2436167140183228,0.3118529273047067,0.3118529273047067,0.3118529273047067,0.2436167140183228,0.191770245036339,0.2626695324107846,0.2626695324107846,0.2626695324107846,0.191770245036339,0.6573517435406265,0.9072032331310856,0.9072032331310856,0.9072032331310856,0.6573517435406265,0.0745940703743718,0.1133367993067155,0.1133367993067155,0.1133367993067155,0.0745940703743718,0.2065655225251393,0.275228254163731,0.275228254163731,0.275228254163731,0.2065655225251393,0.2511161887569884,0.3039354786098994,0.3039354786098994,0.3039354786098994,0.2511161887569884,-0.0023661637931034,-0.000318198275862,-0.000318198275862,-0.000318198275862,-0.0023661637931034,0.0430674549377053,0.0402291246513174,0.0402291246513174,0.0402291246513174,0.0430674549377053,0.0195944416186658,0.0219629069063032,0.0219629069063032,0.0219629069063032,0.0195944416186658,0.0924560344827586,0.1151271551724138,0.1151271551724138,0.1151271551724138,0.0924560344827586,0.0818780172413793,0.1090090517241379,0.1090090517241379,0.1090090517241379,0.0818780172413793,0.0714,0.1002556034482758,0.1002556034482758,0.1002556034482758,0.0714,0.105039224137931,0.1352038793103448,0.1352038793103448,0.1352038793103448,0.105039224137931,0.1755258620689655,0.2576741379310344,0.2576741379310344,0.2576741379310344,0.1755258620689655,Crawford,IA,2016,1,3,80,0,0.9558,1.25,13238.8
33,103,0.3979723510458933,0.4274055026685486,0.4274055026685486,0.4274055026685486,0.3979723510458933,0.3330381938481229,0.3982629334303942,0.3982629334303942,0.3982629334303942,0.3330381938481229,0.236193323906252,0.3203098582586275,0.3203098582586275,0.3203098582586275,0.236193323906252,0.1759146829965885,0.2543159900110293,0.2543159900110293,0.2543159900110293,0.1759146829965885,0.6379691152488243,0.9435882310071184,0.9435882310071184,0.9435882310071184,0.6379691152488243,0.0672595128516025,0.1089188030112393,0.1089188030112393,0.1089188030112393,0.0672595128516025,0.1903539223009542,0.2670869276555804,0.2670869276555804,0.2670869276555804,0.1903539223009542,0.2355883084175789,0.2951449884708668,0.2951449884708668,0.2951449884708668,0.2355883084175789,-0.0032040474137931,-0.0015302887931034,-0.0015302887931034,-0.0015302887931034,-0.0032040474137931,0.0386412822187391,0.0317075956677767,0.0317075956677767,0.0317075956677767,0.0386412822187391,0.0179994170292722,0.0192171858558398,0.0192171858558398,0.0192171858558398,0.0179994170292722,0.090801724137931,0.1169306034482758,0.1169306034482758,0.1169306034482758,0.090801724137931,0.0783521551724138,0.1096668103448276,0.1096668103448276,0.1096668103448276,0.0783521551724138,0.0670952586206896,0.1022293103448276,0.1022293103448276,0.1022293103448276,0.0670952586206896,0.0971737068965517,0.1312219827586207,0.1312219827586207,0.1312219827586207,0.0971737068965517,0.1611831896551724,0.254834051724138,0.254834051724138,0.254834051724138,0.1611831896551724,Crawford,IA,2016,1,9,40,40,1.0281,1.42,11464.5
33,104,0.3931214585780699,0.4167170789193148,0.4167170789193148,0.4167170789193148,0.3931214585780699,0.3223866825196835,0.3930247629344169,0.3930247629344169,0.3930247629344169,0.3223866825196835,0.2357986493949087,0.3186253755582834,0.3186253755582834,0.3186253755582834,0.2357986493949087,0.172227728595439,0.2486973787712805,0.2486973787712805,0.2486973787712805,0.172227728595439,0.6420634331731356,0.9364543203039548,0.9364543203039548,0.9364543203039548,0.6420634331731356,0.0658489097252987,0.106167345732977,0.106167345732977,0.106167345732977,0.0658489097252987,0.1863547232900756,0.2614904341286065,0.2614904341286065,0.2614904341286065,0.1863547232900756,0.2313918500214321,0.2883964431886123,0.2883964431886123,0.2883964431886123,0.2313918500214321,-0.0027734956896551,-0.0015073749999999,-0.0015073749999999,-0.0015073749999999,-0.0027734956896551,0.0374273274084375,0.0284866148639644,0.0284866148639644,0.0284866148639644,0.0374273274084375,0.0174490110343359,0.0179887575770155,0.0179887575770155,0.0179887575770155,0.0174490110343359,0.0904051724137931,0.1173737068965517,0.1173737068965517,0.1173737068965517,0.0904051724137931,0.0780849137931034,0.1109995689655172,0.1109995689655172,0.1109995689655172,0.0780849137931034,0.0659262931034482,0.1048948275862069,0.1048948275862069,0.1048948275862069,0.0659262931034482,0.0947150862068965,0.1316564655172414,0.1316564655172414,0.1316564655172414,0.0947150862068965,0.1577245689655172,0.2547495689655172,0.2547495689655172,0.2547495689655172,0.1577245689655172,Crawford,IA,2016,1,14,40,240,1.1557,1.48,13989.4
33,105,0.3763485367702321,0.4104092893183986,0.4104092893183986,0.4104092893183986,0.3763485367702321,0.3041402395662531,0.3903464640338179,0.3903464640338179,0.3903464640338179,0.3041402395662531,0.225582523744503,0.3193590896498209,0.3193590896498209,0.3193590896498209,0.225582523744503,0.1603159899173398,0.2455873413822913,0.2455873413822913,0.2455873413822913,0.1603159899173398,0.6076205270763112,0.9395453137142366,0.9395453137142366,0.9395453137142366,0.6076205270763112,0.0603363465493742,0.1046738370077713,0.1046738370077713,0.1046738370077713,0.0603363465493742,0.1741339156044673,0.2583791156753885,0.2583791156753885,0.2583791156753885,0.1741339156044673,0.2182856690605568,0.2845254892960677,0.2845254892960677,0.2845254892960677,0.2182856690605568,-0.0030531267605633,-0.0014581830985915,-0.0014581830985915,-0.0014581830985915,-0.0030531267605633,0.034647651454846,0.0259823002950405,0.0259823002950405,0.0259823002950405,0.034647651454846,0.0166211475271537,0.0170108731535526,0.0170108731535526,0.0170108731535526,0.0166211475271537,0.0901455399061032,0.1175446009389671,0.1175446009389671,0.1175446009389671,0.0901455399061032,0.0773779342723004,0.1118178403755868,0.1118178403755868,0.1118178403755868,0.0773779342723004,0.0652366197183098,0.1065995305164319,0.1065995305164319,0.1065995305164319,0.0652366197183098,0.0920652582159624,0.1315699530516431,0.1315699530516431,0.1315699530516431,0.0920652582159624,0.1500985915492957,0.2550201877934272,0.2550201877934272,0.2550201877934272,0.1500985915492957,Crawford,IA,2016,1,16,80,160,1.1655,1.38,17196.8
33,106,0.3756580399379974,0.4092577040916069,0.4092577040916069,0.4092577040916069,0.3756580399379974,0.3159175870758656,0.3907739506780155,0.3907739506780155,0.3907739506780155,0.3159175870758656,0.2535293141226803,0.3180763638630992,0.3180763638630992,0.3180763638630992,0.2535293141226803,0.1602182923110505,0.2451324985645672,0.2451324985645672,0.2451324985645672,0.1602182923110505,0.698958830985655,0.9340056778999009,0.9340056778999009,0.9340056778999009,0.698958830985655,0.0598492718730053,0.1044843985665865,0.1044843985665865,0.1044843985665865,0.0598492718730053,0.1743564539916535,0.2579068484239884,0.2579068484239884,0.2579068484239884,0.1743564539916535,0.2185342956841517,0.2838730126811821,0.2838730126811821,0.2838730126811821,0.2185342956841517,-0.0044597547169811,-0.0021842405660377,-0.0021842405660377,-0.0021842405660377,-0.0044597547169811,0.0263438617932534,0.0259456314766682,0.0259456314766682,0.0259456314766682,0.0263438617932534,0.0142766527876654,0.017015323851568,0.017015323851568,0.017015323851568,0.0142766527876654,0.0906179245283018,0.1184415094339622,0.1184415094339622,0.1184415094339622,0.0906179245283018,0.0767966981132075,0.1117834905660377,0.1117834905660377,0.1117834905660377,0.0767966981132075,0.0666141509433962,0.1069702830188678,0.1069702830188678,0.1069702830188678,0.0666141509433962,0.0882132075471698,0.132029716981132,0.132029716981132,0.132029716981132,0.0882132075471698,0.1514433962264151,0.2552278301886792,0.2552278301886792,0.2552278301886792,0.1514433962264151,Crawford,IA,2016,1,13,40,200,1.119,1.42,14330.6
33,107,0.3690520339800917,0.4114234757545406,0.4114234757545406,0.4114234757545406,0.3690520339800917,0.3113389577395561,0.3913504152161388,0.3913504152161388,0.3913504152161388,0.3113389577395561,0.2551821515039223,0.320092987650274,0.320092987650274,0.320092987650274,0.2551821515039223,0.1555454732201671,0.2470584725708084,0.2470584725708084,0.2470584725708084,0.1555454732201671,0.7015528954479665,0.9424918215866456,0.9424918215866456,0.9424918215866456,0.7015528954479665,0.0574732995561837,0.1055461715591171,0.1055461715591171,0.1055461715591171,0.0574732995561837,0.1697209733647878,0.2597693677367578,0.2597693677367578,0.2597693677367578,0.1697209733647878,0.2135785106812125,0.2856642487865393,0.2856642487865393,0.2856642487865393,0.2135785106812125,-0.0047090093896713,-0.0018075492957746,-0.0018075492957746,-0.0018075492957746,-0.0047090093896713,0.0238368744638597,0.0261513716373484,0.0261513716373484,0.0261513716373484,0.0238368744638597,0.0135085385106555,0.0171297843333314,0.0171297843333314,0.0171297843333314,0.0135085385106555,0.0906131455399061,0.1184948356807511,0.1184948356807511,0.1184948356807511,0.0906131455399061,0.0766615023474178,0.1121779342723004,0.1121779342723004,0.1121779342723004,0.0766615023474178,0.0669140845070422,0.1069323943661971,0.1069323943661971,0.1069323943661971,0.0669140845070422,0.0868244131455399,0.1320765258215962,0.1320765258215962,0.1320765258215962,0.0868244131455399,0.1490610328638497,0.256469014084507,0.256469014084507,0.256469014084507,0.1490610328638497,Crawford,IA,2016,1,10,40,80,1.3344,1.58,17196.8
33,108,0.3556354788069701,0.4159894158315175,0.4159894158315175,0.4159894158315175,0.3556354788069701,0.3008290674829573,0.3921936084370139,0.3921936084370139,0.3921936084370139,0.3008290674829573,0.2568293340012347,0.3243521699028442,0.3243521699028442,0.3243521699028442,0.2568293340012347,0.1460076575913179,0.2510949392882711,0.2510949392882711,0.2510949392882711,0.1460076575913179,0.7016669752898084,0.9604519516416606,0.9604519516416606,0.9604519516416606,0.7016669752898084,0.0526559255292142,0.1077694837651263,0.1077694837651263,0.1077694837651263,0.0526559255292142,0.1602365743181168,0.2636737006131382,0.2636737006131382,0.2636737006131382,0.1602365743181168,0.2034421397450078,0.289427564679359,0.289427564679359,0.289427564679359,0.2034421397450078,-0.0050837464788732,-0.0008542910798122,-0.0008542910798122,-0.0008542910798122,-0.0050837464788732,0.0192349110702271,0.0266050633003915,0.0266050633003915,0.0266050633003915,0.0192349110702271,0.0120920068629643,0.0173830413115597,0.0173830413115597,0.0173830413115597,0.0120920068629643,0.090581220657277,0.1184906103286385,0.1184906103286385,0.1184906103286385,0.090581220657277,0.0764600938967136,0.1130910798122065,0.1130910798122065,0.1130910798122065,0.0764600938967136,0.0674084507042253,0.1068361502347417,0.1068361502347417,0.1068361502347417,0.0674084507042253,0.0841863849765258,0.1321535211267606,0.1321535211267606,0.1321535211267606,0.0841863849765258,0.1440774647887324,0.2590474178403756,0.2590474178403756,0.2590474178403756,0.1440774647887324,Crawford,IA,2016,1,5,160,0,1.2187,1.53,14740.1
33,109,0.3522840684444732,0.4313897253369648,0.4313897253369648,0.4313897253369648,0.3522840684444732,0.3101869643100086,0.4076632677551912,0.4076632677551912,0.4076632677551912,0.3101869643100086,0.217439220197845,0.3163029007588474,0.3163029007588474,0.3163029007588474,0.217439220197845,0.152444615424101,0.2579836426119679,0.2579836426119679,0.2579836426119679,0.152444615424101,0.5628675609241931,0.9253841491167192,0.9253841491167192,0.9253841491167192,0.5628675609241931,0.0559179305278095,0.1110194750567012,0.1110194750567012,0.1110194750567012,0.0559179305278095,0.166543101628513,0.2705710991056091,0.2705710991056091,0.2705710991056091,0.166543101628513,0.2072388063446102,0.2984619119894031,0.2984619119894031,0.2984619119894031,0.2072388063446102,-0.0056800646551724,-0.002078172413793,-0.002078172413793,-0.002078172413793,-0.0056800646551724,0.0293063562843985,0.0348612651527765,0.0348612651527765,0.0348612651527765,0.0293063562843985,0.0160291600162597,0.0200946952164827,0.0200946952164827,0.0200946952164827,0.0160291600162597,0.0939375,0.1154491379310344,0.1154491379310344,0.1154491379310344,0.0939375,0.079990948275862,0.1081469827586206,0.1081469827586206,0.1081469827586206,0.079990948275862,0.0727413793103448,0.1020543103448275,0.1020543103448275,0.1020543103448275,0.0727413793103448,0.0980043103448275,0.1335831896551724,0.1335831896551724,0.1335831896551724,0.0980043103448275,0.1544991379310344,0.2571012931034483,0.2571012931034483,0.2571012931034483,0.1544991379310344,Crawford,IA,2016,1,1,0,0,0.6174,0.96,8393.7
33,110,0.3272577827419088,0.424203994992103,0.424203994992103,0.424203994992103,0.3272577827419088,0.2835790595204183,0.4035156506783907,0.4035156506783907,0.4035156506783907,0.2835790595204183,0.2065064989105127,0.3215618754873552,0.3215618754873552,0.3215618754873552,0.2065064989105127,0.1306744641849749,0.2512453648065276,0.2512453648065276,0.2512453648065276,0.1306744641849749,0.5212376559952191,0.9482940702547988,0.9482940702547988,0.9482940702547988,0.5212376559952191,0.0453634622370171,0.1071999772261227,0.1071999772261227,0.1071999772261227,0.0453634622370171,0.1445748025995134,0.2641367501723612,0.2641367501723612,0.2641367501723612,0.1445748025995134,0.1852364384496311,0.2923768446909765,0.2923768446909765,0.2923768446909765,0.1852364384496311,-0.0066722499999999,-0.0027356077586206,-0.0027356077586206,-0.0027356077586206,-0.0066722499999999,0.0239066640421977,0.0294398539528893,0.0294398539528893,0.0294398539528893,0.0239066640421977,0.0139486188446856,0.0181543038223534,0.0181543038223534,0.0181543038223534,0.0139486188446856,0.0927047413793103,0.1152219827586207,0.1152219827586207,0.1152219827586207,0.0927047413793103,0.0772336206896551,0.1073926724137931,0.1073926724137931,0.1073926724137931,0.0772336206896551,0.0701435344827586,0.1021612068965517,0.1021612068965517,0.1021612068965517,0.0701435344827586,0.0911797413793103,0.1297431034482758,0.1297431034482758,0.1297431034482758,0.0911797413793103,0.1384706896551724,0.2526948275862069,0.2526948275862069,0.2526948275862069,0.1384706896551724,Crawford,IA,2016,1,4,120,0,1.2122,1.57,13580.0
