trial,year,state,site,plot_id,block,n_trt,plant_n,side_n,vt_tiss_n,vt_biomass_kgha,nni
47,2016,NE,SCAL,210,2,10,40,80,2.54,7522.6,1.5669
47,2016,NE,SCAL,211,2,15,80,80,2.07,7559.2,1.2793
47,2016,NE,SCAL,212,2,8,280,0,2.25,7356.0,1.3762
47,2016,NE,SCAL,213,2,2,40,0,1.67,6564.1,0.9782
47,2016,NE,SCAL,214,2,13,40,200,2.46,7011.3,1.4775
47,2016,NE,SCAL,215,2,6,200,0,2.16,6339.9,1.2486
47,2016,NE,SCAL,216,2,14,40,240,1.86,7745.4,1.1602
47,2016,NE,SCAL,301,3,1,0,0,1.63,9442.8,1.0962
47,2016,NE,SCAL,302,3,9,40,40,1.78,6063.4,1.0116
47,2016,NE,SCAL,303,3,12,40,160,2.37,7528.0,1.4624
47,2016,NE,SCAL,304,3,14,40,240,2.25,6578.4,1.319
47,2016,NE,SCAL,305,3,6,200,0,1.77,8259.1,1.1313
47,2016,NE,SCAL,306,3,13,40,200,2.03,6825.7,1.2068
47,2016,NE,SCAL,307,3,3,80,0,1.77,6706.2,1.0452
47,2016,NE,SCAL,308,3,16,80,160,2.36,5554.7,1.2974
47,2016,NE,SCAL,309,3,11,40,120,2.22,7120.7,1.3412
47,2016,NE,SCAL,310,3,5,160,0,2.12,7317.4,1.2941
47,2016,NE,SCAL,311,3,7,240,0,2.43,6518.1,1.4195
47,2016,NE,SCAL,312,3,4,120,0,2.04,6504.5,1.1908
47,2016,NE,SCAL,313,3,15,80,80,1.9,7859.9,1.1918
47,2016,NE,SCAL,314,3,10,40,80,2.47,6220.6,1.4175
47,2016,NE,SCAL,315,3,8,280,0,2.32,6792.0,1.3766
47,2016,NE,SCAL,316,3,2,40,0,1.74,6883.4,1.0377
47,2016,NE,SCAL,401,4,4,120,0,1.84,6747.5,1.0891
47,2016,NE,SCAL,402,4,16,80,160,2.3,6647.8,1.3537
47,2016,NE,SCAL,403,4,9,40,40,2.24,7313.8,1.3671
47,2016,NE,SCAL,404,4,15,80,80,1.93,7134.4,1.1668
47,2016,NE,SCAL,405,4,7,240,0,2.53,5729.4,1.4073
47,2016,NE,SCAL,406,4,10,40,80,2.22,7656.0,1.3786
47,2016,NE,SCAL,407,4,5,160,0,1.88,7491.7,1.1579
47,2016,NE,SCAL,408,4,12,40,160,2.2,7685.8,1.3682
47,2016,NE,SCAL,409,4,13,40,200,2.16,7282.7,1.3161
47,2016,NE,SCAL,410,4,2,40,0,1.88,7137.1,1.1368
47,2016,NE,SCAL,411,4,8,280,0,2.16,8274.0,1.3815
47,2016,NE,SCAL,412,4,1,0,0,1.53,6186.8,0.8762
47,2016,NE,SCAL,413,4,11,40,120,2.37,7016.0,1.4238
47,2016,NE,SCAL,414,4,3,80,0,1.63,7861.7,1.0225
47,2016,NE,SCAL,415,4,6,200,0,2.06,7680.2,1.2808
47,2016,NE,SCAL,416,4,14,40,240,2.19,6678.8,1.2912
49,2016,WI,Plano,101,1,2,40,0,1.66,7531.2,1.0245
49,2016,WI,Plano,102,1,3,80,0,2.04,10974.3,1.4526
49,2016,WI,Plano,103,1,9,40,40,1.35,11340.0,0.9733
49,2016,WI,Plano,104,1,14,40,240,1.99,8671.9,1.2957
49,2016,WI,Plano,105,1,16,80,160,1.98,7412.0,1.2145
49,2016,WI,Plano,106,1,13,40,200,1.86,7959.2,1.1722
49,2016,WI,Plano,107,1,10,40,80,1.9,9825.0,1.2972
49,2016,WI,Plano,108,1,5,160,0,1.94,8558.5,1.2569
49,2016,WI,Plano,109,1,1,0,0,1.44,7477.9,0.8863
49,2016,WI,Plano,110,1,4,120,0,1.68,9363.4,1.1262
49,2016,WI,Plano,111,1,12,40,160,1.89,10859.2,1.3404
49,2016,WI,Plano,112,1,11,40,120,1.9,9446.7,1.278
49,2016,WI,Plano,113,1,15,80,80,1.69,7840.2,1.059
49,2016,WI,Plano,114,1,6,200,0,2.16,11483.9,1.5648
49,2016,WI,Plano,115,1,7,240,0,1.81,7283.9,1.1029
49,2016,WI,Plano,116,1,8,280,0,2.26,7430.6,1.3876
49,2016,WI,Plano,201,2,5,160,0,1.96,10651.7,1.3799
49,2016,WI,Plano,202,2,16,80,160,1.58,8550.2,1.0233
49,2016,WI,Plano,203,2,7,240,0,2.26,8160.8,1.4379
49,2016,WI,Plano,204,2,11,40,120,1.76,8873.5,1.156
49,2016,WI,Plano,205,2,1,0,0,1.57,8418.4,1.0108
49,2016,WI,Plano,206,2,12,40,160,1.76,10341.1,1.2252
49,2016,WI,Plano,207,2,9,40,40,1.39,10252.0,0.9645
49,2016,WI,Plano,208,2,3,80,0,1.77,9682.4,1.2018
49,2016,WI,Plano,209,2,4,120,0,1.97,8849.9,1.2926
49,2016,WI,Plano,210,2,10,40,80,1.35,8167.9,0.8592
49,2016,WI,Plano,211,2,15,80,80,1.97,10711.7,1.3899
49,2016,WI,Plano,212,2,8,280,0,2.01,7938.1,1.2655
49,2016,WI,Plano,213,2,2,40,0,1.74,11180.5,1.2478
49,2016,WI,Plano,214,2,13,40,200,1.8,9611.3,1.2187
49,2016,WI,Plano,215,2,6,200,0,1.93,9424.4,1.297
49,2016,WI,Plano,216,2,14,40,240,2.11,8306.4,1.3516
49,2016,WI,Plano,301,3,1,0,0,1.45,10145.1,1.0021
49,2016,WI,Plano,302,3,9,40,40,1.59,9079.9,1.0535
49,2016,WI,Plano,303,3,12,40,160,1.49,10131.4,1.0292
49,2016,WI,Plano,304,3,14,40,240,1.5,7785.0,0.9374
49,2016,WI,Plano,305,3,6,200,0,1.75,9809.7,1.1941
49,2016,WI,Plano,306,3,13,40,200,1.79,10938.6,1.273
49,2016,WI,Plano,307,3,3,80,0,1.85,9487.7,1.2464
49,2016,WI,Plano,308,3,16,80,160,1.39,9499.7,0.937
49,2016,WI,Plano,309,3,11,40,120,1.84,7596.9,1.1393
49,2016,WI,Plano,310,3,5,160,0,1.88,6459.7,1.0945
49,2016,WI,Plano,311,3,7,240,0,2.04,8368.8,1.3104
49,2016,WI,Plano,312,3,4,120,0,1.66,8663.2,1.0804
49,2016,WI,Plano,313,3,15,80,80,1.59,10179.9,1.1003
49,2016,WI,Plano,314,3,10,40,80,1.95,9912.3,1.3358
49,2016,WI,Plano,315,3,8,280,0,2.0,7956.9,1.2603
49,2016,WI,Plano,316,3,2,40,0,1.91,8725.5,1.2465
49,2016,WI,Plano,401,4,4,120,0,2.0,11065.0,1.4286
49,2016,WI,Plano,402,4,16,80,160,1.78,9878.7,1.2178
49,2016,WI,Plano,403,4,9,40,40,1.63,9379.2,1.0934
49,2016,WI,Plano,404,4,15,80,80,1.9,9629.2,1.2873
49,2016,WI,Plano,405,4,7,240,0,2.03,8518.8,1.3128
49,2016,WI,Plano,406,4,10,40,80,2.14,11587.3,1.5556
49,2016,WI,Plano,407,4,5,160,0,2.05,9460.4,1.3797
49,2016,WI,Plano,408,4,12,40,160,1.89,9011.3,1.2487
49,2016,WI,Plano,409,4,13,40,200,1.89,8588.7,1.2261
49,2016,WI,Plano,410,4,2,40,0,1.84,10606.1,1.2933
49,2016,WI,Plano,411,4,8,280,0,2.15,9027.9,1.4215
49,2016,WI,Plano,412,4,1,0,0,1.66,10542.0,1.1641
49,2016,WI,Plano,413,4,11,40,120,1.38,8627.9,0.8968
49,2016,WI,Plano,414,4,3,80,0,1.6,6973.0,0.9589
49,2016,WI,Plano,415,4,6,200,0,2.05,10299.1,1.4249
49,2016,WI,Plano,416,4,14,40,240,1.88,7965.4,1.1852
